from,to,relationship,time
hs,ss,2,1
hs,kh,1,1
hs,wg,1,2-5
hs,cp,1,1
hs,as,1,1
hs,fh,1,1
hs,tl,1,1
hs,hf,1,1
tl,hk,1,1
hs,th,1,1
hs,hh,3,1
hh,sh,2,1
fm,sh,1,1
hh,fm,1,1
hs,sh,3,1
hs,hg,3,1
hs,fm,3,1
hs,hb,3,1
hb,hg,1,1
hb,fm,1,1
hb,sh,1,1
hs,me,1,1
hs,wge,1,1
hs,hha,1,1
hs,eb,3,1
eb,hha,3,1
hs,wh,1,1
oa,wh,1,1
hs,cm,1,1
oa,cm,1,1
hs,wb,3,1
cm,wb,3,1
hs,jw,1,1
hs,eg,1,6
hs,jf,1,1
jf,cm,1,1
hs,js,1,1
hs,hd,1,1
hs,dfh,3,6
hs,hd,3,1
hs,gs,7,6
hs,lr,3,1
ah,dfh,2,1
lr,dfh,1,1
as,cp,1,1
as,hs,1,1
as,wg,1,1
as,ss,1,1
as,kh,1,1
as,eg,3,1
as,dfh,3,1
as,tl,1,1
as,lr,1,1
as,nh,1,1
as,ap,8,1
as,ak,1,1
as,ep,1,1
as,mb,3,2
kh,hs,1,1
kh,ss,1,1
kh,as,1,1
kh,cp,1,1
kh,wg,1,1
kh,wge,3,6
kh,ks,5,1
kh,tl,3,4
kh,me,1,1
kh,cm,1,1
kh,th,3,4
kh,dfh,5,1
kh,hl,3,6
kh,oa,3,2
kh,eg,3,6
ss,hs,2,1
ss,as,1,1
ss,wg,1,2-5
ss,cp,1,1
ss,cm,1,1
ss,tl,1,1
ss,ks,1,1
ss,kh,1,1
ss,js,1,1
ss,jw,1,1
ss,khs,3,1
ss,oa,1,1
ss,fh,8,1
ss,hh,1,1
ss,eg,3,6
ss,gs,1,1
ss,akg,1,2-5
ss,sh,1,1
cp,as,1,1
cp,hs,1,1
cp,ss,1,1
cp,wg,1,1
cp,kh,1,1
cp,tl,1,1
cp,wk,5,2-5
cp,ap,2,1
cp,th,5,2-5
cp,cm,5,2-5
cp,hd,1,1
cp,ds,2,1
cp,lr,3,1
cp,hed,4,1
wg,hba,1,1
wg,hbo,1,1
wg,wbo,1,1
wg,hs,1,2-5
wg,ss,1,2-5
wg,kh,1,2-5
wg,cp,1,2-5
wg,as,1,2-5
wg,akg,2,1
wg,cm,1,2-5
wg,th,1,2-5
wg,avm,1,2-5
wg,svr,1,2-5
wg,wb,1,2-5
wg,hl,1,2-5
wg,hh,1,2-5
wg,sh,1,2-5
wg,eg,1,2-5
wg,fm,1,2-5
wg,hg,1,2-5
