id,name,sex,age,hometown,occupation
hs,hans scholl,1,2,1,1
ss,sophie scholl,2,2,1,1
kh,kurt huber,1,4,1,3
wg,willi graf,1,2,1,1
cp,christoph probst,1,2,2,1
as,alexander schmorell,1,2,1,1
fh,fritz hartnagel,1,2,1,6
tl,traute lafrenz,2,2,1,1
hf,hubert furtwaengler,1,2,1,1
th,theodor haecker,1,6,1,3
hh,hans hirzel,1,1,3,2
fm,franz j. mueller,1,1,3,2
sh,susanne hirzel,2,2,3,1
hg,heinrich guter,1,1,3,2
hb,heinz brenner,1,1,3,6
me,manfred eickemeyer,1,3,1,3
wge,wilhelm geyer,1,4,3,3
hha,hellmut hartert,1,2,5,1
eb,eduard borchers,1,5,1,1
wh,willi habermann,1,2,99,99
cm,carl muth,1,7,1,5
wb,werner bergengruen,1,5,6,5
jw,juergen wittenstein,1,2,1,1
eg,eugen grimminger,1,5,3,3
jf,josef furtmeier,1,5,1,5
js,josef soehngen,1,4,1,3
hd,heinrich drexel,1,2,1,1
dfh,dr. falk harnack,1,2,1,3
hdo,harald dohrn,1,5,1,3
gs,gisela schertling,2,2,1,1
lr,lilo ramdohr,2,2,1,3
nh,nikolajeff hamazaspian,1,99,11,99
ap,angelika probst,2,99,1,1
ak,angelika knoop,2,99,10,99
ep,elise probst,2,99,1,99
mb,martin buber,1,6,99,3
ks,katharina schüddekopf,2,2,1,1
khs,kunsthistoriker stepanow,1,99,1,3
akg,anneliese knoop-graf,2,2,1,1
wk,walter koch,1,2,2,1
ds,dieter sasse,1,1,99,6
hba,helmut bauer,1,2,12,99
hbo,heinz bollinger,1,2,12,99
wbo,willi bollinger,1,2,12,3
avm,alfred von martin,1,6,99,3
svr,sigismund von radecki,1,5,99,3
mr,margareta rothe,2,2,4,1
asu,albert suhr,1,2,4,1
hk,heinz kucharski,1,2,4,1
ah,arvid harnack,1,4,5,3
hl,hans leipelt,1,2,1,1
rm,reinhold meyer,1,2,4,1
hw,hannelore willbrandt,2,2,4,3
kls,karl ludwig schneider,1,2,4,1
